path,category,slug,w,h,orientation,quality,publish,people,tags,alt_cs,alt_en,alt_de,caption_cs,caption_en,caption_de,source_file,note
/images/library/colonnade/colonnade-interior-hall.jpg,colonnade,colonnade-interior-hall,1600,1067,landscape,hero,yes,yes,colonnade architecture historic interior promenade,"Dlouhá litinová kolonáda s malovaným klenutým stropem, sluncem prozářenou dlažbou a obchody podél jedné strany.","Long cast-iron colonnade hall with painted vaulted ceiling, sunlit floor patterns and shops along one side.","Lange gusseiserne Kolonnadenhalle mit bemalter Gewölbedecke, sonnendurchfluteten Bodenmustern und Geschäften an einer Seite.",Slunce proniká oblouky historické kolonády a vykresluje vzory na vyleštěné dlažbě.,"Sunlight streams through the arches of the historic colonnade, casting patterns across the polished floor.",Sonnenlicht fällt durch die Bögen der historischen Kolonnade und zeichnet Muster auf den polierten Boden.,marienbad-18.jpg,
/images/library/colonnade/kolonada-dome-detail.jpg,colonnade,kolonada-dome-detail,1600,1067,landscape,good,yes,no,colonnade architecture dome detail historic,Detail tmavé kupole a nápisu 'Kolonáda' nad bílou římsou a korintskými sloupy.,Close-up of the dark dome and 'Kolonáda' lettering above white cornice and Corinthian columns.,Nahaufnahme der dunklen Kuppel und des Schriftzugs 'Kolonáda' über weißem Gesims und korinthischen Säulen.,Tmavá kupole a nápis mariánskolázeňské kolonády se ostře rýsují proti letní obloze.,The dark dome and lettering of Mariánské Lázně's colonnade stand out crisply against a summer sky.,Die dunkle Kuppel und der Schriftzug der Marienbader Kolonnade heben sich klar vom Sommerhimmel ab.,marienbad-16_B.jpg,
/images/library/cuisine/buffet-salad-plate.jpg,cuisine,buffet-salad-plate,1600,900,landscape,good,yes,yes,buffet restaurant salad nutrition hotel dining,"Zaměstnankyně v bílém plášti ukazuje na bufet, žena vedle ní drží talíř s čerstvým salátem.",A staff member in white gestures toward the buffet while a woman holds a plate of fresh salad.,"Eine Mitarbeiterin in Weiß weist auf das Büfett, während eine Frau einen Teller mit frischem Salat hält.",Hostku se zájmem o zdravou výživu provádí bufetem s čerstvými barevnými saláty.,"A nutrition-minded guest is guided through the buffet's fresh, colourful salad options.","Eine ernährungsbewusste Gästin wird durch das frische, bunte Salatangebot des Büfetts geführt.",foto Fitness and Nutrition/FitNut-3.jpg,
/images/library/cuisine/chocolate-dessert-berries.jpg,cuisine,chocolate-dessert-berries,1600,1067,landscape,hero,yes,no,food dessert plated-dish fine-dining chocolate berries,Vrstvený čokoládový dezert se šokoládovou ozdobou je poprášen cukrem vedle čerstvého ovoce.,A layered chocolate dessert with a chocolate curl is dusted with powdered sugar beside fresh berries.,Ein geschichtetes Schokoladendessert mit Schokoladenspirale wird neben frischen Beeren mit Puderzucker bestäubt.,Poprášení cukrem korunuje vrstvený čokoládový dezert podávaný s čerstvým ovocem.,A powdered-sugar finish crowns this layered chocolate dessert served with fresh berries.,Ein Hauch Puderzucker vollendet dieses geschichtete Schokoladendessert mit frischen Beeren.,05_A_Healthy cuisine/Food-2.jpg,
/images/library/cuisine/chocolate-dessert-berries-lowres.jpg,cuisine,chocolate-dessert-berries-lowres,1600,1066,landscape,weak,no,no,food dessert plated-dish chocolate berries watermark,Čokoládový dezert poprášený cukrem vedle čerstvého ovoce; vlevo dole viditelné vodoznak fotografa.,A layered chocolate dessert dusted with powdered sugar beside fresh berries; a photographer's watermark logo is visible bottom-left.,Ein mit Puderzucker bestäubtes Schokoladendessert neben frischen Beeren; unten links ein sichtbares Wasserzeichen des Fotografen.,Nižší rozlišení záběru čokoládového dezertu s viditelným vodoznakem fotografa.,"Lower-resolution version of the chocolate dessert shot, carrying a visible photographer's watermark.",Niedriger aufgelöste Version des Schokoladendesserts mit sichtbarem Wasserzeichen des Fotografen.,05_A_Healthy cuisine/Food_Low_Res-2.jpg,duplicate of P092 at lower resolution (2000x1333); visible photographer watermark logo makes it unusable for web
/images/library/cuisine/chocolate-poached-pears.jpg,cuisine,chocolate-poached-pears,1600,1067,landscape,hero,yes,no,food dessert plated-dish fine-dining chocolate still-life,Celé hrušky přelité tmavou čokoládovou omáčkou stojí na tmavé břidlici na strukturovaném černém pozadí.,Whole pears coated in dark chocolate sauce stand on a dark slate against a textured black backdrop.,"Ganze, mit dunkler Schokoladensauce überzogene Birnen stehen auf einer dunklen Schieferplatte vor strukturiertem schwarzen Hintergrund.",Celé hrušky zahalené do tmavé čokolády tvoří působivou minimalistickou dezertní kompozici.,"Whole pears draped in dark chocolate make for a striking, minimalist dessert composition.","Ganze, in dunkle Schokolade gehüllte Birnen ergeben eine eindrucksvolle, minimalistische Dessertkomposition.",05_A_Healthy cuisine/Food-3.jpg,
/images/library/cuisine/chocolate-poached-pears-lowres.jpg,cuisine,chocolate-poached-pears-lowres,1600,1066,landscape,weak,no,no,food dessert plated-dish chocolate still-life watermark,Celé hrušky přelité tmavou čokoládou na tmavé břidlici; vlevo dole viditelné vodoznak fotografa.,Whole pears coated in dark chocolate sauce on dark slate; a photographer's watermark logo is visible bottom-left.,"Ganze, mit dunkler Schokoladensauce überzogene Birnen auf dunklem Schiefer; unten links ein sichtbares Wasserzeichen des Fotografen.",Nižší rozlišení záběru čokoládových hrušek s viditelným vodoznakem fotografa.,"Lower-resolution version of the chocolate pear dessert, carrying a visible photographer's watermark.",Niedriger aufgelöste Version des Schoko-Birnen-Desserts mit sichtbarem Wasserzeichen des Fotografen.,05_A_Healthy cuisine/Food_Low_Res-3.jpg,duplicate of P093 at lower resolution (2000x1333); visible photographer watermark logo makes it unusable for web
/images/library/cuisine/chopping-green-onions.jpg,cuisine,chopping-green-onions,1600,1067,landscape,good,yes,no,food ingredient chopping kitchen-prep macro herbs,Nůž v detailním záběru krájí zářivě zelenou jarní cibulku na tmavém prkénku.,"A knife slices through bright green spring onions on a dark board, captured in close-up.",Ein Messer schneidet in Nahaufnahme leuchtend grüne Frühlingszwiebeln auf einem dunklen Brett.,Čerstvá jarní cibulka jde pod nůž v tomto detailním záběru z přípravy v kuchyni.,Fresh spring onions get the knife in this close-up kitchen-prep shot.,Frische Frühlingszwiebeln werden in dieser Nahaufnahme aus der Küchenvorbereitung geschnitten.,05_A_Healthy cuisine/Food-5.jpg,
/images/library/cuisine/chopping-green-onions-lowres.jpg,cuisine,chopping-green-onions-lowres,1600,1066,landscape,weak,no,no,food ingredient chopping kitchen-prep macro watermark,Nůž krájí jarní cibulku na tmavém prkénku; vlevo dole viditelné vodoznak fotografa.,A knife slices spring onions on a dark board; a photographer's watermark logo is visible bottom-left.,Ein Messer schneidet Frühlingszwiebeln auf einem dunklen Brett; unten links ein sichtbares Wasserzeichen des Fotografen.,Nižší rozlišení záběru krájení jarní cibulky s viditelným vodoznakem fotografa.,"Lower-resolution version of the spring-onion prep shot, carrying a visible photographer's watermark.",Niedriger aufgelöste Version der Frühlingszwiebel-Aufnahme mit sichtbarem Wasserzeichen des Fotografen.,05_A_Healthy cuisine/Food_Low_Res-5.jpg,duplicate of P095 at lower resolution (2000x1333); visible photographer watermark logo makes it unusable for web
/images/library/cuisine/flambe-vegetable-pan.jpg,cuisine,flambe-vegetable-pan,1600,1067,landscape,hero,yes,no,food flambe cooking chef vegetables fine-dining,Z pánve s restovanou zeleninou na tmavém sporáku šlehají dramatické plameny.,Flames rise dramatically from a pan of sautéed vegetables on a dark stovetop.,Aus einer Pfanne mit gebratenem Gemüse schlagen auf einem dunklen Herd dramatische Flammen empor.,Moment flambování zachycuje dramatickou atmosféru živé kuchyně.,A flambé moment captures the drama of the show kitchen in full swing.,Ein Flambieren fängt die Dramatik der Show-Küche in voller Aktion ein.,05_A_Healthy cuisine/Food-1.jpg,
